slice,ci_lower_diskomfort,ci_upper_diskomfort,mean_diskomfort,ci_lower_anger_sm,ci_upper_anger_sm,mean_fl_anger_sm,ci_lower_disgust_sm,ci_upper_disgust_sm,mean_fl_disgust_sm,ci_lower_fear_sm,ci_upper_fear_sm,mean_fl_fear_sm,ci_lower_happiness_sm,ci_upper_happiness_sm,mean_fl_happiness_sm,ci_lower_sadness_sm,ci_upper_sadness_sm,mean_fl_sadness_sm,ci_lower_surprise_sm,ci_upper_surprise_sm,mean_fl_surprise_sm,ci_lower_neutral_sm,ci_upper_neutral_sm,mean_fl_neutral_sm,mean_rel_zeit_s
1,-0.173963119214367,0.522681067932316,0.174358974358974,-0.194649299137317,0.271447120886804,0.0383989108747436,-0.338318010680021,0.0557733774891944,-0.141272316595413,-0.045160427818148,0.748349992455757,0.351594782318805,-0.159524367535164,0.333370562368469,0.0869230974166524,-0.418824500575822,0.054411766257467,-0.182206367159177,-0.15552915513802,0.318235957046475,0.0813534009542275,-0.199318871443491,0.313509033627609,0.0570950810920588,133.983590102564
2,-0.168846556884533,0.507308095346071,0.169230769230769,-0.246464595240059,0.0997310640489947,-0.0733667655955319,-0.279083175729362,0.120560607666762,-0.0792612840312998,-0.0528393813557695,0.60199324359619,0.27457693112021,-0.148193351736983,0.386541442272313,0.119174045267665,-0.44917680138841,0.0118891415738199,-0.218643829907295,-0.137858038352991,0.346918715221523,0.104530338434266,-0.176037621145671,0.328995558250909,0.0764789685526189,134.083589846154
3,-0.176521400379284,0.530367554225438,0.176923076923077,-0.221255913035606,0.143892757520687,-0.0386815777574595,-0.170908930065525,0.272182346181405,0.0506367080579395,-0.137629237477057,0.365730966910238,0.114050864716591,-0.0999306148417686,0.511028572257075,0.205548978707653,-0.382404478217041,0.101499800971418,-0.140452338622812,-0.165828650719667,0.304352826667136,0.0692620879737344,-0.146944438614908,0.334361500595906,0.0937085309904991,134.199231038462
4,-0.173963119214367,0.522681067932316,0.174358974358974,-0.24316230579919,0.198376803952045,-0.0223927509235726,-0.098651901581848,0.398116823863912,0.149732461141032,-0.261848433226159,0.181872385300693,-0.0399880239627328,-0.114470540958812,0.530638691973053,0.208084075507121,-0.297369069247351,0.227010465761609,-0.0351793017428711,-0.203687222773757,0.249351853183761,0.0228323152050019,-0.193388441724587,0.292493165278284,0.0495523617768488,134.315643435897
5,-0.179079681544201,0.53805404051856,0.17948717948718,-0.213791269190182,0.258535264098083,0.0223719974539506,-0.145612006798713,0.410029491437288,0.132208742319287,-0.355324571507252,0.0427151593727103,-0.156304706067271,-0.13121773489928,0.622226146784687,0.245504205942703,-0.254952673388295,0.264904408116159,0.00497586736393157,-0.230472891613652,0.215184014752934,-0.00764443843035907,-0.142379398781824,0.364496012260833,0.111058306739505,134.415897641026
6,-0.168846556884533,0.507308095346071,0.169230769230769,-0.200123161240668,0.300646310386515,0.0502615745729232,-0.264200843785812,0.292850835441374,0.0143249958277813,-0.365189625760975,0.0185585182292517,-0.173315553765862,-0.156478754269156,0.685329726444704,0.264425486087774,-0.30229907556171,0.189570062220088,-0.0563645066708111,-0.206900574288054,0.248175050986241,0.0206372383490936,-0.106961958414026,0.386303383569213,0.139670712577594,134.499487358974
7,-0.168846556884533,0.507308095346071,0.169230769230769,-0.198152413106459,0.212985946774941,0.00741676683424105,-0.355539539018192,0.182284850487972,-0.0866273442651098,-0.297039034573964,0.0835446488581943,-0.106747192857885,-0.16621069587568,0.609858873127882,0.221824088626101,-0.288876858956788,0.179589563549944,-0.0546436477034219,-0.178923230527477,0.274830763110385,0.047953766291454,-0.0770126877573591,0.405110355052735,0.164048833647688,134.58359025641
8,-0.168846556884533,0.507308095346071,0.169230769230769,-0.142312391389917,0.248314055954143,0.0530008322821128,-0.453755315938536,0.0108150048269573,-0.221470155555789,-0.181980725901178,0.240669553445187,0.0293444137720046,-0.222823148089831,0.328870760787104,0.0530238063486368,-0.307774522061633,0.119708776845355,-0.0940328726081388,-0.109949939353083,0.348756193453057,0.119403127049987,-0.0741472481637876,0.41524911589358,0.170550933864896,134.699488307692
9,-0.168846556884533,0.507308095346071,0.169230769230769,-0.098909189873586,0.341366710469289,0.121228760297852,-0.463643977873414,-0.00456703537303282,-0.234105506623223,-0.116085034308245,0.342393387238557,0.113154176465156,-0.309918515801494,0.0814871454944251,-0.114215685153534,-0.326378143310427,0.101988412013484,-0.112194865648472,-0.0759959145108833,0.389301979292688,0.156653032390903,-0.102360316256364,0.391686845196404,0.14466326447002,134.815642858974
10,-0.168846556884533,0.507308095346071,0.169230769230769,-0.0805809234103546,0.369526693484411,0.144472885037028,-0.473672146323784,-0.0416522223052086,-0.257662184314496,-0.140070339658514,0.338171777333201,0.0990507188373436,-0.334255008434571,0.0501896503735428,-0.142032679030514,-0.300676420547032,0.151562238354296,-0.0745570910963684,-0.0542332570912874,0.42899334151976,0.187380042214236,-0.118013559983657,0.351363873650463,0.116675156833403,134.915641641026
